DATE_TIME,BPOS,DBTM,FLWI,HDTH,HKLD,ROP,RPM,SPPA,WOB
1203152301,-1.007869,-0.872063,-0.199987,0.725407,-0.619819,0.086067,-0.471395,-0.535100,-0.208649
1203152310,-1.007869,-0.872063,-0.199987,0.725407,-0.620978,0.086067,-0.471395,-0.537811,-0.208649
1203152337,-1.007869,-0.872063,-0.199987,0.725407,-0.619239,0.086067,-0.471395,-0.538797,-0.208649
1203152355,-1.007869,-0.872063,-0.199987,0.725407,-0.618080,0.086067,-0.471395,-0.539167,-0.208649
1203152364,-1.007869,-0.872063,-0.199987,0.725407,-0.621557,0.086067,-0.471395,-0.538674,-0.208649
1203152391,-1.007869,-0.872063,-0.199987,0.725407,-0.617500,0.086067,-0.471395,-0.542124,-0.208649
1203152400,-1.007869,-0.872063,-0.199987,0.725407,-0.617500,0.086067,-0.471395,-0.538057,-0.208649
1203152409,-1.007869,-0.872063,-0.199987,0.725407,-0.620978,0.086067,-0.471395,-0.540769,-0.208649
1203152418,-1.007869,-0.872063,-0.199987,0.725407,-0.618949,0.086067,-0.471395,-0.542124,-0.208649
1203152445,-1.007869,-0.872063,-0.199987,0.725407,-0.623296,0.086067,-0.471395,-0.544466,-0.208649
1203152454,-1.007869,-0.872063,-0.199987,0.725407,-0.618949,0.086067,-0.471395,-0.540029,-0.208649
1203152463,-1.007869,-0.872063,-0.199987,0.725407,-0.619819,0.086067,-0.471395,-0.541262,-0.208649
1203152472,-1.007869,-0.872063,-0.199987,0.725407,-0.619819,0.086067,-0.471395,-0.542247,-0.208649
1203152499,-1.007869,-0.872063,-0.199987,0.725407,-0.618080,0.086067,-0.471395,-0.540029,-0.208649
1203152508,-1.007869,-0.872063,-0.199987,0.725407,-0.616631,0.086067,-0.471395,-0.542001,-0.208649
1203152517,-1.007869,-0.872063,-0.199987,0.725407,-0.614602,0.086067,-0.471395,-0.544096,-0.208649
1203152562,-1.007869,-0.872063,-0.199987,0.725407,-0.618369,0.086067,-0.471395,-0.549765,-0.208649
1203152571,-1.007869,-0.872063,-0.199987,0.725407,-0.621557,0.086067,-0.471395,-0.557036,-0.208649
1203152616,-1.007869,-0.872063,-0.199987,0.725407,-0.621557,0.086067,-0.471395,-0.570961,-0.208649
1203152625,-1.007869,-0.872063,-0.199987,0.725407,-0.620978,0.086067,-0.471395,-0.569852,-0.208649
1203152634,-1.007869,-0.872063,-0.199987,0.725407,-0.624456,0.086067,-0.471395,-0.571577,-0.208649
1203152670,-1.007869,-0.872063,-0.199987,0.725407,-0.623296,0.086067,-0.471395,-0.576876,-0.208649
1203152679,-1.007869,-0.872063,-0.199987,0.725407,-0.626194,0.086067,-0.471395,-0.574165,-0.208649
1203152688,-1.007869,-0.872063,-0.199987,0.725407,-0.624745,0.086067,-0.471395,-0.577493,-0.208649
1203152724,-1.007869,-0.872063,-0.199987,0.725407,-0.627064,0.086067,-0.471395,-0.580450,-0.208649
1203152733,-1.007869,-0.872063,-0.199987,0.725407,-0.623296,0.086067,-0.471395,-0.578232,-0.208649
1203152742,-1.007869,-0.872063,-0.199987,0.725407,-0.625325,0.086067,-0.471395,-0.578848,-0.208649
1203152778,-1.007869,-0.872063,-0.199987,0.725407,-0.620688,0.086067,-0.471395,-0.579341,-0.208649
1203152796,-1.007869,-0.872063,-0.199987,0.725407,-0.618369,0.086067,-0.471395,-0.578355,-0.208649
1203152823,-1.007869,-0.872063,-0.199987,0.725407,-0.620688,0.086067,-0.471395,-0.576014,-0.208649
