DATE_TIME,BPOS,DBTM,FLWI,HDTH,HKLD,ROP,RPM,SPPA,WOB
1232437928,1.577169,1.044860,0.711872,0.019692,1.873633,-0.057675,1.505416,1.568836,0.329411
1232437932,1.576549,1.044864,0.711872,0.019697,1.875696,-0.057675,1.505416,1.568836,0.313617
1232437936,1.575929,1.044871,0.711872,0.019705,1.877887,-0.057675,1.505416,1.568836,0.294664
1232437940,1.575309,1.044878,0.711872,0.019713,1.876340,-0.057675,1.505416,1.568836,0.307299
1232437944,1.574275,1.044889,0.711872,0.019725,1.881755,-0.057675,1.520741,1.552089,0.263075
1232437948,1.573655,1.044895,0.711872,0.019733,1.880723,-0.057675,1.520741,1.552089,0.271499
1232437952,1.572622,1.044909,0.711872,0.019748,1.876469,-0.057675,1.490092,1.563169,0.306246
1232437956,1.572002,1.044913,0.711872,0.019754,1.874407,-0.057675,1.490092,1.563169,0.323094
1232437960,1.571381,1.044920,0.711872,0.019761,1.881239,-0.057675,1.490092,1.563169,0.267287
1232437964,1.570761,1.044927,0.711872,0.019769,1.878274,-0.057675,1.490092,1.563169,0.291505
1232437968,1.569728,1.044938,0.711872,0.019782,1.875567,-0.057675,1.505416,1.555479,0.313617
1232437972,1.569108,1.044945,0.711872,0.019789,1.872731,-0.057675,1.505416,1.555479,0.336782
1232437976,1.568074,1.044958,0.711872,0.019805,1.879305,-0.057675,1.505416,1.555479,0.283081
1232437980,1.567454,1.044963,0.711872,0.019810,1.876211,-0.057675,1.520741,1.567851,0.308352
1232437984,1.566834,1.044970,0.711872,0.019817,1.879434,-0.057679,1.520741,1.567851,0.282028
1232437988,1.566214,1.044976,0.711872,0.019825,1.884075,-0.057679,1.520741,1.567851,0.244122
1232437992,1.565181,1.044988,0.711872,0.019838,1.880852,-0.057679,1.520741,1.567851,0.271499
1232437996,1.564560,1.044994,0.711872,0.019845,1.879176,-0.057679,1.520741,1.566134,0.284134
1232438000,1.563527,1.045006,0.711872,0.019858,1.871699,-0.057679,1.520741,1.566134,0.345206
1232438004,1.562907,1.045012,0.711872,0.019866,1.873891,-0.057679,1.520741,1.566134,0.327306
1232438008,1.562287,1.045019,0.711872,0.019873,1.877758,-0.057679,1.505416,1.567120,0.295717
1232438012,1.561667,1.045026,0.711872,0.019881,1.878790,-0.057679,1.505416,1.567120,0.287293
1232438032,1.557740,1.045069,0.711872,0.019930,1.876211,-0.057679,1.520741,1.557000,0.308352
1232438036,1.557119,1.045075,0.711872,0.019937,1.879950,-0.057679,1.520741,1.559091,0.277817
1232438040,1.556086,1.045087,0.711872,0.019950,1.877629,-0.057683,1.520741,1.559091,0.297823
